,ComplaintTrain,ComplaintTrainLabel,EmotionTrain,EmotionTrainLabel,SentimentTrain,SentimentTrainLabel,SeverityTrain,SeverityTrainLabel
826,worst ever service from your distributors they do not even have the basic manners and are behaving childish the supply is not proper the items which we ask are always out of stock past 1year we are doing business with a tied up target and we are like achieving,1,do not opt for hdfclife insurance . at the end they will not pay anything to nominee they eat death persons money . organised lisenced fraud by hdfclife . omicron pmoindia health coviddeath amitshah mafia,1,well the us is pot committed to covid through 2025 . so there is financial incentive to keep covid around for a good long while . . . which means as i said from the onset we learn to live with it just as we did with the flu .,1,i agree with you completely . i logged in at 10 past midnight on the first day . not only did it work seamlessly processing a new debit card without a hitch but i also found my ggfather living with my great grandfather in 1921 . it recorded his age and town of birth . brilliant .,4
827,has your financial situation changed recently ? for better or worse ? be sure to update your policy to reflect these changes .,0,is blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is dna cat gaming platform ? if the number of users spikes will transactions on dna cat get congested ?,4,day 21 no response from customer support . . customer support informed that customer cannot talk with ofm amazon team and ofm team will never reply to customers . please give me my 600 gift voucher ?,0,the hpcl super saver credit card is a hoax charging 8 . 5 on loading hp wallet money with 1 . 5 points of value plus an additional charge of redeeming it . this bank is a lying and fooling machine .,3
828,bigger picture ? like setting your family up into a great financial situation where they won t have to worry about living pay check to pay check and fearing what would happen if you ever got sick and couldn t work for a period of time ? that kind of bigger picture ?,0,why do we never hear about the farm payrolls from r these workers no longer important ? don t they contribute to the economy ? this is extreme sarcasm as we still use these archaic terms in our modern society,6,why do you have hefty call charge for calling your customer care number . such a bad service from icici .,0,eventually all the web3 parts are gone and you have a website for buying and selling jpegs with your debit card . this is great and offers a sharp critique while still remaining optimistic,4
829,really this is the last time i am using after sending all details i have not heard from them . i cannot get back my own money and service bis far away . this is a fraud,1,trophy winning mutualfunds handpicked by us . this book closed book is your ultimate source to choose the best mutual funds for your needs . prebook your copy now ! backhand index pointing right medium dark skin tone wealthcreation newyeargoals,3,on 17 . 12 . 2021 my father made a transaction via his debit card for pepperfry order 307640273 which did not go through but his a c was debited for the said transaction . we want our refund !,0,credit card blocked post a valid transaction . no callback . not able to reach customer care amidst plethora of ivr options . please help .,1
830,western world keep buying moderna n pfizer this is a cash grab their vaccines are so expensive poor countries can t buy them . this is f non sense ! ! i got two shots won t get any more of this crap american corporate greed,0,one great tip ! use promotions expand your reach and lead generation among your customers followers . save time and money 14 day free trial . no credit card needed,6,going through my mutual fund investment performance . that double dip in 2021 had a huge personalfinance lesson for me . major wealth erosion happened coz of covid hospitalization during the 2nd wave,1,5 tips for making your best offer on a home call me today for all of your real estate needs ! from selling to buying a home or refinancing to obtaining a loan to purchase a home .,4
831,my mother did grocery shopping during payment from her debit card central bank transaction was failed but amt deducted from her account and shopkeer didnt get money . . it was happend on 3rd jan still she didnt get money refund . . i did complain regarding this but no respons,1,lesson i learned during the past year eth is a big failure useless piece of shit cannot wait to see really good alternatives,1,76 days have passed and no refund yet . making day light robbery your business well played clapping hands medium light skin tone enjoy the free money i hope other passenger see this tweet and never book sj . pathetic ! !,0,only if you pay full cash . but as mortgage has low interest rate it is pretty secure leveraged investment .,4
832,maybe mutual funds don t belong on the ash heap of financial history after all . in a great read about capacity portfolio concentration risk and momentum on the downside and performance chasing via arkk,0,ok i am confused . what the hell is this then ?,6,good project the best launchpad coinbox cbox bsc binance,2,low rates are always great but free is even better . usfcu offers free checking accounts and it is available to all of our members . our account holders never have to pay for an atm or debit card online banking or mobile banking .,4
833,hold time more than 11 mins and then call gets disconnected . . is this customer service ? and i am called an esteemed customer while offering loan . .,1,do not opt for hdfclife insurance . at the end they will not pay anything to nominee they eat death persons money . even rejecting covid death claims . organised lisenced fraud by hdfclife . omicron pmoindia health coviddeath,0,1 . last year they had the best performer in esg funds 2 . i like their fof fund you hire a fund manager who picks other funds and performing better over 10 yrs .,2,now u might say that the hist . returns of liquid funds are better than gold therefore it makes sense to invest round ups in mutual funds . cross mark mindset round ups is already a new idea and expecting users to adopt another new habit of investing in mfs increases friction further .,4
834,also a great point on the episode with awesome note on bitcoin core development and its similarity to nuclear science and nasa space engineering priority one on risk aversion . failure would risk the whole industry . every 100h of coding followed by 900h if testing .,0,good smiling face with smiling eyes . here s a tip about credit get a credit card secured if you need it and when you buy things use your credit card but have enough money in the bank already so you can immediately pay what you just bought . . the same day . that is how you build great credit b1,3,i am trying since 2 hours but their is no any response i also tried to connect with your head its also not responding .,0,still no update till now and no update regarding refund . i want an action on this i want my money back asap .,3
835,bbank did so well in 2021 with the upcoming debit card integration into the system i am expecting the token to be the best investment for 2022,0,player housing and more guild halls would be great but what i want the most is more cosmetic rewards that are on the same level of gem store cosmetics something to motivate me to play more content instead of just typing in my credit card number into the gem store,4,i went to the convenience store this morning and the dang debit card reader wasn t reading my card the sweet cashier leans over and says it work s better if you insert your card face with rolling eyes zany face face with spiral eyes face with tears of joy,2,jobs report unemployment rate dives stoking fed fears ; dow jones slips via recruiting hiring jobs unemployment baycrest,4
836,hi i did debit card transaction . first time it was declined done in second chance . amount debited twice . kindly refund the same . let me know details you need in dm .,1,this an institute of the future poll revealed that 52 of ukrainians claimed that their financial status had deteriorated . only 10 claimed that their financial status got better . perhaps the government policies benefited a limited number of people,5,no response a robots chat with us cannot resolve our issue,0,so about twitter icic 78995826 a04xrb i got another insulting email from you . have replied to that too . it is simple . either get the loan passed or i am taking all my business elsewhere . a high usage credit card a wealth account and the demat account .,1
837,mine was ordered on 3rd nov and they delivered damaged and wrong piece on 7th jan . refunded my money yesterday . after more than two months of stress . i got my money back .,1,hi abhishek ! we understand your concern . you can deposit funds using mobikwik via upi or debit card payments while the wallet top up is enabled by them . the payment gateway supports limited banks and they are trying to onboard more banks . you can also 1 2,4,who uses cash ? my children don t .,1,criminal overtones ? ? lol . do you know how much heroin coke humans . . have been bought with cash ? ! ? ! lol,4
838,these are the cheapest 1 1 ghost available on the market right now listed for 180 common uncommon xpr ghost xpr loan nfts nftcommunity nftcollectors nftartists solananft protonchain pronft protonghost,0,hell yeah good idea ! do you know if that is allowed ? or do we have to pay business credit card with business debit checkings account,6,woman technologist this composable api will enable new experiences for end users such as previewing and timing nft mints and seeing whether their transaction will go through or fail without having to pay gas .,0,may i get the sbi electronics city bangalore branch direct contact detail . dm also fine . trying to reach on mails but no response . not able to visit branch . thank you,3
839,reality is eth is now taking the bitcoin scaling route after wasting 7 years . . it s slightly ahead two bips . . but peter s right eth is ultimately not fixable in certain senses . . if starks end up on eth it would be a horrible failure and limit what we can accomplish,0,hey ! i am great gfx designer ! just dm me with your credit card info and we can get this show on the road,3,cheapest ghost available right now great entry point fire fire xpr ghost xpr loan nfts nftcommunity nftcollectors nftartists nftshilling solananft protonchain protonnft protonghost,1,i totally get it i d point to the financial press domain where there s been massive improvement in ability to articulate some of this stuff i don t think those biases are unworkable and that move to smarter policy in inflation welfare or ecological management necessitate it,4
840,then invest in a grade stocks only . i would suggest you to speak with financial consultant . if that is your retirement fund then mutual fund would be a better option for achieving your goal . diversify better metals gold silver equity stocks and mutual fund .,0,bestoftheweek are you planning to invest in mutual funds in this new year ? check out these sip portfolios . mutualfunds,4,there is no proper response,1,amarnath investment company . get health insurance now . . invest for better tomorrow 1 mutual funds . 2 life insurance . 3 heath insurance . contact 91 94221 57227 . mutualfunds investment investmentcompany amarnathinvestmentcompany financialfreedom healthinsurance finance,4
841,this is a literal joke and fear tactic . yall are not interested in the economy getting better . yall just want conformity .,0,there is no response from your customer care check dm msg,5,hi jyotish ! we understand your concern . you can deposit funds using mobikwik via upi or debit card payments while the wallet top up is enabled by them . the payment gateway supports limited banks and they are trying to onboard more banks . we shall try to enable upi asap . thanks !,2,the best way to weed out subscriptions u don t need is to let ur debit card expire and wait for all of them to call u to update the payment,4
842,breaking u . s . employers added only 199 00 jobs in december as hiring slowed and the economy stumbled even before omicron threatened the labor market reports and,0,hey ! ! are you guys into it ? ? can i expect an explanation as why i was charged extra toll tax by the ola driver .,5,unable to login by tan as tax deductor after approval . . always asking too activate i d . . raised grievance but nothing happened so far,0,is blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is dna cat gaming platform ? if the number of users spikes will transactions on dna cat get congested ?,3
843,united kingdom india deal would open huge opportunities for british businesses in india and vice versa in both goods and services said international trade secretary read her exclusive interview in backhand index pointing down more backhand index pointing down uk india,0,so this guys debit card fell and like the good person i am i gave it to him and he bought me a drink to thank me lowkey i should ve kept it rolling on the floor laughing ahh jk smiling face with halo,3,biden welfare state of united states only created 199 00 jobs . we were told by leftist fake news others are expected to increase by 450 00 jobs in december . economy bidenflation,1,more people are informed about juld fraud and how useless its team . keep it up do not get in trap they announce their debit card for more than 6 months but all they got is shit posters . you could at least practice in photoshop for better quality .,4
844,in blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is metadrace gaming platform ? if the number of users spikes will transactions on metadrace get congested ?,1,i was applied pan card and on 26th nov . conformation mail was come to me but till now virtual copied has not delivered . whenever i complain to nsdl they told me that we sent all documents to income tax dept . and u will shortly mailed pan but till now i has not got,5,complaint 2653654 day 44 of pending refund,0,if a pool does not have adequate liquidity you need high slippage . with low slippage your transaction will fail . this is where mev comes in . 4 10,3
845,sir its a good idea to invest in mutual through sip . my plan is to do sip in good mutual fund for next 3 year and leave the invested amount for 20 years . if this idea is not good . can you please guide me where should i do the investment for good return,0,how can i confirm now ? i did not know bank will need evidence in the form of screenshot of every transaction like a court of law . your system should have it too .,5,the cgm focus fund managed by ken heebner has been named the best performing u . s . diversified stock mutual fund of the decade by morningstar according to the wall street journal the cgm focus fund produced time weighted return twr of 18 over the past 10 years .,2,find all hammond mfg products here at kga enclosures . great low prices fast delivery times pay via bacs paypal credit card manufacturinguk electronics ukmfg mfg gbmfg madeinamerica madeinbritain engineering manufacturing manufacturers,4
846,saw a great tip regarding the visa card and apple samsung pay can t remember who so can t credit sorry . obvs it s not available now but if you download curve and add the crypto card to that you can add curve to apple pay and there you have it .,0,went to oneplus service centre and experienced the worst customer service there . had to exchange the oneplus nord speaker but they did not have it in stock and i was asked to wait for 15days . expecting better services from oneplus . enraged face enraged face,0,security policy places economy front and centre,2,everyone advises beginners to start with mutual funds . is it advisable to liquidate mf portfolio after say 4 5 years once you have learnt the ropes of identifying good stocks and seen up down cycles ?,4
847,4 10 choosing the best online mutual fund investment platform a 11 point checklist,0,hi ! we hope you are doing well . you can deposit funds using mobikwik via upi or debit card payments while the wallet top up is enabled by them . the payment gateway supports limited banks and they are trying to onboard more banks . we shall try to enable upi asap . thanks !,4,while talking to their customer care i found they cannot do anything as per them we should travel in these conditions with the kids if we want to save out money . . what s the use of using these platform for convenience,0,india gdp govt forecasts fy22 economic growth at 9 . 2 via,4
848,i have not been sent my new debit card my old one expired in december,1,always we offer the best services for success ! ! . call us 91 9176323424 . more info loan homeloan personalservice mudraloan mortgageloan businessloan businessloantips businessloanpreapproval tnfinancechennai tnfinance loanservices,4,i need to come up with 400 before my mom finds out because there were some orders i accidentally made with her credit card that i forgot were on my account and i can t cancel them so i m hoping they will let me send everything back loudly crying face i mean this is a great start to my new year,1,hi rahul ! we hope you are doing well . you can deposit funds using mobikwik via upi or debit card payments while the wallet top up is enabled by them . the payment gateway supports limited banks and they are trying to onboard more banks . we shall try to enable upi asap . thanks !,4
849,dont no all the time y im unable to send money with out transaction fail but amount debits from my account . some times even transaction successful cases also it will take 6 7days to credit back my debited amount .,1,hello . have not been able to get in touch with any representative . my debit card is lost and i want to issue new one . kindly get in touch with me . thanks .,5,new year plans ready hai na ? check exclusive deals with your hdfc bank times points debit card . newyearcelebrations celebrations hny happynewyear newyearresolutions party celebrate vacation tour plan trip booking deals promotion offer,2,well is not that great . i go to purchase my books digitally from my university s digital bookstore which is what my professor wants is the only way to obtain them and i need a credit card to purchase them . i do not have a credit card .,4
850,i am shifting to another state and i have a two wheeler on loan . kindly help me how to get noc for that . jayanagar 4th block bangalore branch .,1,top up home loan cheapest personal loan i personal loan via,4,etfs are owned by vanguard and it will collapse the economy when gme goes moon,0,is also charging the same . where is this money going ?,1
851,and influenza was a big killer prior to that . . and even now still kills half a million a year . like the flu covid is not much of a money maker in the long term . vaccines simply are not really a good way to make money .,0,unfortunately many people are still getting sick and calling out ! this is hurting businesses and you know the economy is not doing well deltacron omicron covid19 flurona letsgobrandon quarantine greatamericansickout,2,i have ordered on 31 12 2021 my order got canceled techical issue till date not received refund bad experience with refund policy,0,i have converted my home loan to eblr based by paying required charges of rs . 5900 but still the rate of interest is 7 . 10 which should be decreasing with the changes of repo rate . but even after paying charges the change in interest rate is effecting . pls help .,3
852,its great for now but i guarantee more regulations are coming . . they already make it extremely hard to buy crypto . no banks in canada allow you to buy crypto with a credit card and they tried shutting down binance in ontario . should really start looking for a crypto account now,0,13 . if you re personal credit is good or you ve built your paydex to a 90 look into tier 3 accounts . chase navy fed bofa pnc us bank wells and amex . these are great banks that ll give you a great card with decent limit . plus the utilization doesn t report .,3,one of my pos transaction was failed on 21 . 11 . 2020 amounting rs . 1950 . 00 i have submitted the claim form and informed bank last week i also informed rbi by mail but till date there is no response from rbi and as well from bank of india . no responsibility . .,0,hi santosh ! we understand your concern . you can deposit funds using mobikwik via upi or debit card payments while the wallet top up is enabled by them . the payment gateway supports limited banks and they are trying to onboard more banks . we shall try and enable upi asap . thanks !,4
853,complaint 3 times in customer care but no response . . worst experience ever had and worst services,1,world bank retains india s economic growth forecast at 8 . 3 for 2021 22 via,3,both consumer and producer inflation pressures moderated in china in december giving the pboc scope to cut interest rates just as most major nations look to tighten policy . china financial business,2,easiest way to buy drip using crypto or debit credit card via if you want to know how to buy the best crypto out there drip . watch this ! join the team too ! drippin drip bsc bscgem,4
854,,0,2022 off to a great start ! my credit card info got stolen .,2,worst customer care service . after debiting amount from account did not credit in beneficiary account and no response for complaint or even a courtesy to acknowledge emails . boycottpnb,0,my a c has been debited against the purchase of stocks . but i have not done any of these transaction . customer care is also not working . please resolve this and refund my money asap pfa screenshots of the transactions .,3
855,the federalreserve markets and behavioral influences past present and future . economy investing investors econtwitter bonds stocks fed centralbanks,0,a more transformative app offering the best of everything right now apart from mutual funds fd s and nps . so basically a one stop solution for users to smartly invest enabling them to earn even better returns . newetmoney,3,reader question i cashed in a small portion of my provident fund before putting the rest of it in a provident preserver fund . i am now in financial distress . is it possible for me to cancel the fund ? michaelhaldane of advises . .,0,it was moneyback visa credit card,3
856,i request all the users who are facing issues specially with their newly bought appliances under warranty from their hard earned money to tag in their comments as well so strict action is taken against them,1,economy adds disappointing 199k jobs in december trump was jobs biden is nojobs votered,5,gruesome is great at finding ways to waste taxpayer money . bribing well off people with welfare to buy evs with money taken from taxpayers is stupid . i am a fan of evs but not government manipulation of the markets .,1,20 10 1 . 30,4
857,the more i think about the next banners the more i consider just saving for yae . i do not need a c1 xiao or a c1 ganyu even tho they are great . i wish i could have a c2 zhongli but mine still c0 and as someone who does not use the credit card it is just a distant dream tbh . .,0,dear i just came here for money withdrawal in icici atm machine but the machine is not working properly and my atm card stuck in the machine please help me location is goregaon west premnagar tiranga buildings .,2,4 to put it in comparison one of the most popular and invested in mutual funds is the fidelity contrafund which boasts an exceptional 13 average yearly return . many consider it to be the best fund for young investors since it is relatively risky to other funds .,1,find all hammond mfg products here at kga enclosures . great low prices fast delivery times pay via bacs paypal credit card manufacturinguk electronics ukmfg mfg gbmfg madeinamerica madeinbritain engineering manufacturing manufacturers,4
858,the best performing alt in 2022 will be ftm mana they have shown signs of upward trend and with recent partnerships a 10x is certain before eoy i also expect some good results from as it continues to update the v2 app and roll out of debit card to eu clients .,0,congratulations ! confetti ball balloon,3,very interesting decision given amazon has a good tailwind across all its main business . also market is just going to expand so even if there are competition all companies can grow . what do you think ?,2,good day i ordered a new debit card to my city in canada while i was away on a trip to the us . it s been 3 weeks now and the card has yet to arrive ?,4
859,i maid a payment of 4900 rs on rent pay on paytm i maid on 3rd jan till now my amount was not settled in bank . my number is 8618509788 . i totally upset with your bad service . plese do need full . enraged face angry face enraged face i maid also but no response .,1,with all the other prepaid card options out there why would anyone dump their money in to a bunch of thieves laps ? ? anyone reading this is better off just getting a debit card from chime have not been screwed by them at all in the 2 years i have been a member yes index pointing up that is an ad,6,no response in dm messaged 2 hours ago .,0,i am simply asking for an email from standard chartered mentioning banks consent and cooperation for transaction reversal with icici bank . how difficult can that be ?,3
860,is the best way to rt and comment with our venmo or to select quote tweet and add our venmo handle before reposting ? just curious . i rt ed btw grinning face with smiling eyes sarahmreece0kr,0,is bending over backwards to deflect and ignore a poor jobs number . now says he just wants to ignore the number ! smh . cnbc tried to make good numbers look bad under trump . now bad numbers are good under biden ? stop playing politics with our economy !,0,despite multiple visits your team hasn t been able to resolve the issue they changed some parts but issue still exist fetching 20lts jars everyday reflecting a complete sales and service betrayal now either u give us a new machine or return our money back,0,i have applied for amazon pay credit card on 25th oct kyc was also done but nothing happened after that . pls check what is the issue . app no 8201917492549,3
861,dang . . i place 0 . 5 and the transaction fail . .,1,is blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is dna cat gaming platform ? if the number of users spikes will transactions on dna cat get congested ?,4,9756129288 via hapur news pilkhuwa news simbhaoli andamp ; u . p india in hindi,2,if sarah bloom raskin is confirmed as the federal reserve s point person on banking oversight the fed could be poised to make a more expansive effort to address financial risks caused by a warming environment . here are some samples of her policy views .,4
862,ek baar visa purchase transaction karke phas gaya hun transaction b ni hui paise b account se gaye aur opar se be zameer log ap ko sharam ni experience pouch rahe ho 15 din hogaye complaint no 0501220266 ka to kuch karlo help line pe call karen to kehte hain wait for 40 to 140day,1,how many times will i keep doing this and wasting my time ? ? my query is posted here and emailed u all too . yet no response . .,5,a customers userid is linked with his debit card . what about customers who have loan credit card relationship but no saving accounts with u ? there is no way he can manage his ac online . a customer should be able to login with even loan ac or cc number . isnt it ?,0,when will you give me noc and kyc documents ? or else please return my money back . . please help me,3
863,stephen yiu explanation as to why he no longer holds amzn is ridiculous . saying wmt has improved their e commerce during covid ! clearly he lives in the uk and not us . amzn mo has always been to be the best be profitable and re invest in themselves retail and aws both,0,hi i want home loan and how can i reach out to you . home is in vellore district,4,four reasons that led to the economic the unjust american blockade on lebanon the rampant corruption inside the country the economic and financial policies over thirty years and the performance of the central bank,0,afroz i already did but no response please ask you team to check mail,3
864,good evening danaka . we know how important it is to be able to make deposits into your account and will be happy to assist however we can . so that we can understand the situation better are you needing to deposit funds into your pnc account without the pnc debit card ? jm,0,hello team i already paid my credit card bill but the amount is still showing outstanding . could you please update the correct figure . it is confusing and i already highlghted it earlier but no response,5,i had made a payment for bsnl landline through your gateway . but the transaction not completed and money got deducted from my account . how can i know the status of the transaction ?,0,i want to surrender my credit card immediately,3
865,with due respect i would like to acknowledge u a fraud e wallet app cheated us . . already 30 days passed . i raised a complaint for refund against failed transaction . . unfortunately i have not got refund yet and support team not co operate . . please help,1,ok the total is 9 . 33 do you have a points card with us ? no just debit please would you like to get one ? no thanks i ll pay with debit are you sure it only takes a second no i m good alright how would you like to pay ?,4,i would like to know is hdfc is operational or shut down completely ? no response no reply more than three days is customer care is working ? keeping name hdfcbank cares would not have any use act accordingly totally fed up your lethargic irresponsive attitude,0,trying to reach your customer care to report an unauthorised transaction from my debit card but cannot get through any one pls contact on 989227839,1
866,i would never recommend to anyone pensive face . better you take loan from a local lender instead of taking from icici .,1,sir i have neither credit card from your bank nor bank account . now regularly message is receiving that is your outstanding amount so and so . . ! hence before some time i had applied a credit card but not received till date or nor authentication by me and generate otp,5,good points . we are reviewing both and electricity is definitely opaque . another is would i trust my electricity supply to 2degrees have mobiles ? no great on selling but cannot get easy combined billing for two mobile phones and charge for debit card payments twice .,2,1 . the lowest interest rate on a capitec loan i received in feb 20 was 13 35 which is 4 . 10 above min . rate of 9 . 25 . 2 . i dont know why i was given 4 . 10 above the min . rate . as my credit rate was and is still excellent . 3 . dec 21 i paid the loan in full within 24 months .,4
867,and will say this is a healthy economy !,0,zubin today is 4th jan no response yet angry face angry face bug bug,0,why does it actually work i ordered something thinking it would fail and i panicked when ot said transaction complete i had to cancel my order,0,i have taken a vehicle loan on feb 2019 and till now i have paid all my emis on time still i am receiving communication to pay the emi overdue charge . i am again attaching the screenshot of the issue here . kindly look into this matter and do the needful .,3
868,except mutual fund in pidilite or titan would be good sip option for next decade sir ? ?,0,i request all the users who are facing issues specially with their newly bought appliances under warranty from their hard earned money to tag in their comments as well so strict action is taken against them,5,how will the stock market do in 2022 ? expect a tough year but lots of opportunities barron s roundtable,2,how india can use covid as an opportunity to build logistics sector better logistics supplychain supplychainissues india demand economy opportunity newsupdates amg,4
869,here is the transaction . mobikwik said it is failed transaction . please tell me ways to raise a chargeback for the refund ? is it possible through phonebanking ?,1,this article is incredibly out of touch with reality . poor ? just move across the country and buy your house in cash ! best start a business get married and plan on being divorced 1 6 9 12 14 . like we all can afford these things up front .,3,we re moving into what i would say is the 2nd phase of esg which is how quickly companies can move along and make a difference and have an impact . the only way we can measure that is if it s disclosed . on esg and the just100 on,1,good money after bad man . i do not need excuses .,4
870,what category of mutual fund in debt space would be recommended . having short term impact on interest rate hikes for 1 2 year time frame . is floating rate good enough ?,0,empty grocery shelves return as sick employees supply chain delays collide and railed against trump handling covid early on . now has screwed up the us economy and covid recovery to an extent unimaginable,1,it is great that you looked into it ! i pay a lot but it is also business related i use both verizon and atandt . . not sure why verizon s marketing a credit card was such a turnoff for me . .,1,this is a good start but you need to prohibit owning individual stocks as well . you also need to put tight restrictions on the types of etfs and mutual funds as well . also make sure every member s vote is logged .,4
871,there is no greater joy than having financial stability and a life free of debts that s why i keep tweeting about mrs has been a pleasure collaborating with you . . there is no other way i can show my appreciation other than tweeting the good deed you have done .,0,i would say do not take loan from icici as they take grab money from re payer unnecessarily .,5,do you know you can start your mutual fund investments with amount as little as rs . 500 rs . 100 a month ? you can follow us and give this post a like raising hands mfstreet mutualfunds growth investments goals success millioner millennials,2,guys what about axis blue chip mutual fund for next 20 yrs my budget is 10k per month . is this good ? experts pls suggest me,4
872,it might have to do with slippage . transaction fail if ur slippage is too low and the coin ur trading has a big movement in price,1,she had so much to offer in the fields of fake grievance overt hate and tax evasion . a real loss .,5,anyone can allocate their assets to the index products such as etf or mutual fund so as to obtain the investment exposure and gain larger profits . who dosent like good things ? ?,2,hey jim boyah ! ! this is probably a crazy theory but if the fed actually raises rates aggressively like they indicated wouldn t that be a quick way to get rid of excess liquidity in the economy ? a 20 fall in stocks crypto would effect those leveraged investors . thoughts ? ?,4
873,yet again fobbed off with regards to a policy that they ve been given all the relevant information for . only been going on for nearly 2yrs . complaints people are rude . financial ombudsman and money mail next stop . enraged face,0,would be great to pay off the rest of my credit card bill . slimmgodess21,4,still no response very very disappointed,0,for anyone tempted by this tortured mess a summary student debt is regressive if measured by wealth . but not financial wealth a different kind of wealth made up to support my policy preferences . but that is ok because i am an economist and totally on the level . it is a hoot !,4
874,of avax you have in your wallet . but if you do not have enough axax the transaction will fail . consider the transaction summary below . you will see that the only transaction that went successfully is the one of 20 avax .,1,dear team still waiting for suitable response from your end with regards to my amazon icici credit card application,5,sf parents beware of the refund policy for for those with kids looking for childcare . even in light of covid they will not issue any kind of refund if your kids get sick even a week out which begs the question do some parents let their kids go anyway ?,0,taken personal loan disbursed on 31 12 21 . no money credited to account still after 3 days . no positive response from customer service .,1
875,no i have not . i received one that it was closed then it was reopened and now randomly at 3 11am central time it was closed again . no notice at all . i have emailed no response as of yet .,1,i was buy a amazon gift card from woohoo website . and suddenly my gift card was locked and all money was deducted from my amazon pay wallet . no one help me properly .,5,is this is the service that samsung authorized service centre is providing to the customer who have spent thousands of their money to buy samsung product ? ? please tell me what i should i do now should i take my tablet back or what ? ?,0,i tried to mint in their page . it popped up that the transaction might fail . is it tied to opense failure,3
876,is blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is dna cat gaming platform ? if the number of users spikes will transactions on dna cat get congested ?,1,best gold loan companies in india i gold loan i gold loan interest rate . what are the advantages of a gold loan ? how to take a gold loan at the lowest rates ? which are the best gold loan companies in india ?,4,official are curropt people the bank is working with chinese loan application for this . the management is with these fraudsters,0,when i sacrifice for pulsex i get a failed transaction due to gas fees . when i select the amount to sacrifice i allow for gas fees but it seems to fail . what am i doing wrong ?,3
877,sent the mail and confirmed via . dm yesterday during office hours . received no response today till the end of office hours .,1,you know the best part ? uk visas and immigration clearly my credit card has not been charged . yet you have illegally held my money for last 16 days . you refused to return the money for one claim already and on another you have kept commission . who authorised you ?,0,next challenge with mutual funds too much diversification backhand index pointing up an individual can have 10 stocks backhand index pointing up index has 50 stocks backhand index pointing up mf has more than 60 stocks managing all these 50 60 stocks will add cost while not bringing better returns,1,good afternoon you often tell callers on your lbc phone in that they are too late to make a debit card charge back claim . however the time period you quote is not as short as it is with debit cards from santander . i have more than once claimed debit card charge,4
878,anju good evening . fund house crypto blockchain nft metaverse web3 2009 mutual fund return crypto investor if you interested please dm,0,pfizer has an incentive to over estimate the seriousness of these new strains to strike fear they have a nice cash cow going i would doubt they want to end it soon . just remember this when you start to get booster 5 because pfizer said you needed it to be safe .,4,aaj dophar main petrol pump pe debit card se payment kiya mare paise cut gaye or payment fail ho gaya . mare account se paise bhi cut gaye,0,complaint 2653654 day 44 of pending refund,3
879,dear hdfc please refer top up loan account number 670674755 which was applied online at roi 7 for rs . 700 and fees of rs . 3500 immediately paid by me as asked by the hdfc portal . after submitting all the required documents,1,when this credit card payment for vet bills comes out of my bank acc im going to have like 13 and my new job has not set me up on payroll yet relieved face life is great,6,newetmoney etmoney is sports medal india s best and highest rated app for mutual fund investment is coming up with trading in stocks cash and derivative segment smiling face with smiling eyes,2,so whats better about web3 ? so far everything i tried to access on web3 was very complex convoluted the average user would have a lot of trouble plus coins can only be purchased by debit card or cash thru a very limited amount of vendors and theres fees on a lot of things,4
880,please all customers not open account branch rules different and customer service rules different note mach branch kheralu pin 384325 really bad pensive face experience,1,waste is due to wires failure to store output etc . modern bitcoin mining facilities are built in the origin site so they would be much more effecient less wires and can use the excess output of the underlying site . the machines can easily be turned off .,4,some of the best investors i know put xx into mutual funds every month quarter or year whether markets are high or low and many years later have done very well the old saying its not timing the market it is time in the market 2,2,fixed deposits and bonds are low risk instruments that give you returns with a fixed rate of interest . while they may look a little unattractive as compared to mutual funds but they do a great job of keeping your money . deposits fixeddeposits fds bonds lowrisk returns,4
881,in 2021 beijing issued the detailed funding policy of bookstores for the first time . the plan details operation time scope number and types of books on sale . a total of 272 bookstores received financial support from the fund last year . culture life,0,i am very wary of this sort of analysis ; very hard to be genuinely unbiased,2,it is 29 12 21 i am waiting for my request to get processed . i got call from your team that my request get processed will informed through call mail . but nothing changes from last 4 months i am waiting for my loan 7723605706 sanctioned letter . worst,0,i created a petition since 3 days after the defective edition was released and got 314 supporters it s slow due to haters or fanboys . i got my refund on eshop but playstation is way worst on their refund policy my 60 lost . they shouldn t just make all 3 in both gp ps now .,2
882,whatever happens i m ashamed to say i m a retired financial planner and i bought at 61 ! i m glad i didn t sell many stocks cause i m obviously not very good at it ! sold mostly mutual funds reits and annuities . thank god i didn t load up ! do the squeeze and santa exist ? i m holdin,0,hi clare . you can find details of the fees and charges we apply when you use your credit card for foreign currency transactions here i hope you have a great trip and please put in a good word with santa for me . brian,4,i made a transaction of rs87 500 on 12th december 2021 via phonepe upi . it got refunded in my account on 16th december and then got on hold . since then i am in consistent touch with the bank s customer support team but there is no outcome,0,people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is volt inu platform ? if the number of users spikes will transactions on volt inu get congested ?,3
